"year","state","avg_house_price"
1975,"AK",34631.201972
1976,"AK",40626.424492
1977,"AK",43648.795498
1978,"AK",46877.325856
1979,"AK",52263.244546
1980,"AK",56087.168889
1981,"AK",58813.802093
1982,"AK",72681.773587
1983,"AK",79911.19015
1984,"AK",85801.363569
1985,"AK",84156.039393
1986,"AK",80339.10347
1987,"AK",75275.059703
1988,"AK",62878.355183
1989,"AK",72931.906148
1990,"AK",56368.805314
1991,"AK",69404.962431
1992,"AK",73700.175978
1993,"AK",75462.466622
1994,"AK",79152.629742
1995,"AK",82753.64789
1996,"AK",85381.442108
1997,"AK",88664.166006
1998,"AK",91651.035694
1999,"AK",93580.228729
2000,"AK",96453.502661
2001,"AK",100470.9033
2002,"AK",106738.73103
2003,"AK",113598.39316
2004,"AK",122657.45247
2005,"AK",135125.30171
2006,"AK",150066.24014
2007,"AK",156519.87098
2008,"AK",155299.00252
2009,"AK",154159.41
2010,"AK",153450.69859
2011,"AK",156223.30171
2012,"AK",153379.41749
2013,"AK",159211.51703
2014,"AK",164087.05054
2015,"AK",167860.30789
2016,"AK",174902.80092
2017,"AK",175121.58374
2018,"AK",177891.30602
1975,"AL",35768.108578
1976,"AL",37047.577605
1977,"AL",39443.877033
1978,"AL",42668.144424
1979,"AL",47414.157951
1980,"AL",50673.918134
1981,"AL",51880.915369
1982,"AL",52491.313326
1983,"AL",54158.48721
1984,"AL",57737.397145
1985,"AL",57683.774486
1986,"AL",61618.367842
1987,"AL",64948.269503
1988,"AL",66049.558227
1989,"AL",67010.224649
1990,"AL",69631.154503
1991,"AL",70333.588331
1992,"AL",72623.606415
1993,"AL",75129.804431
1994,"AL",78616.273074
1995,"AL",82503.588301
1996,"AL",84846.322711
1997,"AL",88058.208498
1998,"AL",90832.267865
1999,"AL",94072.566868
2000,"AL",97797.958803
2001,"AL",100125.01624
2002,"AL",102367.19862
2003,"AL",106335.37154
2004,"AL",110207.4804
2005,"AL",116265.45417
2006,"AL",127478.4594
2007,"AL",134227.57523
2008,"AL",133816.08316
2009,"AL",127822.58914
2010,"AL",125233.39099
2011,"AL",116568.35263
2012,"AL",113794.85912
2013,"AL",116775.91049
2014,"AL",121078.71581
2015,"AL",124465.08602
2016,"AL",127619.21994
2017,"AL",132850.25115
2018,"AL",139265.32899
1975,"AR",37028.827189
1976,"AR",38608.791962
1977,"AR",42335.637066
1978,"AR",45859.698959
1979,"AR",50810.132695
1980,"AR",55516.532043
1981,"AR",59330.920708
1982,"AR",56833.181419
1983,"AR",61197.992605
1984,"AR",64205.858325
1985,"AR",65831.584479
1986,"AR",67648.628235
1987,"AR",68505.982798
1988,"AR",68031.120586
1989,"AR",69428.416031
1990,"AR",69573.587618
1991,"AR",71034.494264
1992,"AR",73041.474565
1993,"AR",75316.975002
1994,"AR",79747.366
1995,"AR",84681.24229
1996,"AR",87324.779553
1997,"AR",89814.449896
1998,"AR",90886.455673
1999,"AR",94357.039563
2000,"AR",96989.26282
2001,"AR",100329.75964
2002,"AR",103953.77658
2003,"AR",108197.92279
2004,"AR",113690.10153
2005,"AR",120896.62668
2006,"AR",129109.99709
2007,"AR",133017.00385
2008,"AR",132456.86428
2009,"AR",127773.31857
2010,"AR",125955.53464
2011,"AR",121842.41465
2012,"AR",122130.48249
2013,"AR",126760.86184
2014,"AR",128220.88609
2015,"AR",130191.34344
2016,"AR",134364.77042
2017,"AR",139083.72705
2018,"AR",144013.80088
1975,"AZ",28864.54487
1976,"AZ",29681.752908
1977,"AZ",30851.879693
1978,"AZ",34771.580249
1979,"AZ",41979.150754
1980,"AZ",49597.942507
1981,"AZ",54257.115964
1982,"AZ",55807.212782
1983,"AZ",58979.345338
1984,"AZ",58597.726738
1985,"AZ",61483.062057
1986,"AZ",62955.956055
1987,"AZ",64942.507374
1988,"AZ",65207.715279
1989,"AZ",65258.94648
1990,"AZ",65095.594424
1991,"AZ",64250.263331
1992,"AZ",66001.244822
1993,"AZ",67019.861341
1994,"AZ",69899.166539
1995,"AZ",74591.123916
1996,"AZ",78281.916158
1997,"AZ",80881.371464
1998,"AZ",84575.377203
1999,"AZ",89508.600029
2000,"AZ",95163.242769
2001,"AZ",100323.39156
2002,"AZ",105826.91733
2003,"AZ",113280.46862
2004,"AZ",124025.26463
2005,"AZ",149808.10843
2006,"AZ",200138.94054
2007,"AZ",201072.40069
2008,"AZ",178538.30716
2009,"AZ",132731.36966
2010,"AZ",118528.03296
2011,"AZ",105293.17547
2012,"AZ",105627.16805
2013,"AZ",128013.03353
2014,"AZ",144640.2984
2015,"AZ",151565.51294
2016,"AZ",161663.793
2017,"AZ",174798.46491
2018,"AZ",188803.85172
1975,"CA",15706.582656
1976,"CA",17907.806474
1977,"CA",21365.842329
1978,"CA",26758.093799
1979,"CA",30812.678752
1980,"CA",36504.904071
1981,"CA",40256.683296
1982,"CA",42785.705871
1983,"CA",42790.333395
1984,"CA",43682.166384
1985,"CA",45193.29103
1986,"CA",47501.527399
1987,"CA",51373.510249
1988,"CA",56937.654138
1989,"CA",67888.178488
1990,"CA",79343.098545
1991,"CA",79376.190231
1992,"CA",78202.278667
1993,"CA",74076.138454
1994,"CA",69726.066634
1995,"CA",68501.465878
1996,"CA",66797.67314
1997,"CA",67344.469498
1998,"CA",71212.239861
1999,"CA",78740.033751
2000,"CA",88692.689255
2001,"CA",101123.32349
2002,"CA",110921.25362
2003,"CA",130432.80423
2004,"CA",153221.66758
2005,"CA",187617.4472
2006,"CA",214684.62255
2007,"CA",207940.46167
2008,"CA",175749.93357
2009,"CA",137141.26403
2010,"CA",137899.12264
2011,"CA",131163.75108
2012,"CA",125273.61492
2013,"CA",142547.37675
2014,"CA",168922.08387
2015,"CA",180232.21797
2016,"CA",194350.40793
2017,"CA",208982.18306
2018,"CA",227175.45377
1975,"CO",19690.85887
1976,"CO",21213.146448
1977,"CO",22883.489068
1978,"CO",27094.27393
1979,"CO",32269.016214
1980,"CO",36452.879379
1981,"CO",39382.867916
1982,"CO",41941.104383
1983,"CO",44442.95647
1984,"CO",44481.242897
1985,"CO",45274.72473
1986,"CO",45435.754719
1987,"CO",45748.798504
1988,"CO",44209.16357
1989,"CO",43481.236411
1990,"CO",44644.137963
1991,"CO",45427.796067
1992,"CO",47816.214468
1993,"CO",52495.891019
1994,"CO",58761.141857
1995,"CO",64489.479415
1996,"CO",67816.532435
1997,"CO",71634.279944
1998,"CO",75813.423199
1999,"CO",82100.715245
2000,"CO",90937.967666
2001,"CO",100652.31157
2002,"CO",106400.50605
2003,"CO",109891.40106
2004,"CO",112381.25404
2005,"CO",116888.36065
2006,"CO",121764.80193
2007,"CO",123481.20956
2008,"CO",119299.16703
2009,"CO",114545.91956
2010,"CO",116599.20661
2011,"CO",111461.2589
2012,"CO",111116.85974
2013,"CO",121862.11151
2014,"CO",132735.71599
2015,"CO",145580.55765
2016,"CO",159960.2351
2017,"CO",176794.62156
2018,"CO",194015.58076
1975,"CT",24508.044065
1976,"CT",26321.588306
1977,"CT",27169.17359
1978,"CT",30477.544086
1979,"CT",35500.50294
1980,"CT",38259.109119
1981,"CT",39527.648936
1982,"CT",41898.527838
1983,"CT",42437.091822
1984,"CT",46819.636404
1985,"CT",53118.566023
1986,"CT",63100.808098
1987,"CT",82486.936705
1988,"CT",95552.205353
1989,"CT",96836.952072
1990,"CT",94926.675474
1991,"CT",87331.811934
1992,"CT",84635.369173
1993,"CT",80969.643277
1994,"CT",77522.94999
1995,"CT",78882.642827
1996,"CT",77122.220289
1997,"CT",78097.35556
1998,"CT",79953.027303
1999,"CT",85322.132578
2000,"CT",93170.076657
2001,"CT",100771.47844
2002,"CT",110146.06555
2003,"CT",123168.03099
2004,"CT",135477.24718
2005,"CT",151046.30614
2006,"CT",162355.08511
2007,"CT",161212.27692
2008,"CT",156541.75539
2009,"CT",143815.41398
2010,"CT",141070.20343
2011,"CT",135436.67321
2012,"CT",129820.42115
2013,"CT",128345.14326
2014,"CT",130490.18157
2015,"CT",130346.48102
2016,"CT",131247.1737
2017,"CT",132943.34779
2018,"CT",137655.45139
1975,"DC",18718.439003
1976,"DC",20740.400083
1977,"DC",23101.942579
1978,"DC",27476.848175
1979,"DC",33660.135494
1980,"DC",38501.728094
1981,"DC",40764.157691
1982,"DC",40461.070582
1983,"DC",39320.447982
1984,"DC",40983.464218
1985,"DC",42334.938248
1986,"DC",45757.982783
1987,"DC",50555.349917
1988,"DC",58093.769001
1989,"DC",67598.536377
1990,"DC",72727.410693
1991,"DC",72154.653325
1992,"DC",72308.305849
1993,"DC",70386.82432
1994,"DC",68657.161133
1995,"DC",66414.324493
1996,"DC",67972.256929
1997,"DC",69525.079121
1998,"DC",71749.845049
1999,"DC",78017.761794
2000,"DC",88003.955512
2001,"DC",101752.86912
2002,"DC",120597.12979
2003,"DC",142253.27719
2004,"DC",168533.19308
2005,"DC",206202.64856
2006,"DC",229170.49246
2007,"DC",230831.75343
2008,"DC",225771.37077
2009,"DC",215975.97331
2010,"DC",222052.909
2011,"DC",223552.28187
2012,"DC",232473.60091
2013,"DC",254999.98823
2014,"DC",281131.26734
2015,"DC",294008.32373
2016,"DC",316001.39706
2017,"DC",329366.55196
2018,"DC",345006.36377
1975,"DE",27169.197164
1976,"DE",28776.839637
1977,"DE",29470.918103
1978,"DE",31336.85856
1979,"DE",32173.038442
1980,"DE",36432.208792
1981,"DE",40056.14461
1982,"DE",39514.501898
1983,"DE",42937.953982
1984,"DE",46284.707817
1985,"DE",49643.629788
1986,"DE",54732.678586
1987,"DE",62220.157938
1988,"DE",69377.166986
1989,"DE",76506.78646
1990,"DE",82095.33721
1991,"DE",82345.936114
1992,"DE",82784.495934
1993,"DE",82823.85828
1994,"DE",80945.960229
1995,"DE",82729.501488
1996,"DE",81907.605157
1997,"DE",83962.80054
1998,"DE",85386.658478
1999,"DE",88046.379525
2000,"DE",93811.601534
2001,"DE",100865.92598
2002,"DE",108264.86019
2003,"DE",120069.90033
2004,"DE",134273.98591
2005,"DE",153659.1502
2006,"DE",171285.2745
2007,"DE",177107.21048
2008,"DE",172109.80767
2009,"DE",159876.35692
2010,"DE",152784.41068
2011,"DE",145764.01568
2012,"DE",137531.98753
2013,"DE",139656.06362
2014,"DE",145201.63074
2015,"DE",148389.28924
2016,"DE",154553.61845
2017,"DE",153953.078
2018,"DE",162250.24298
1975,"FL",31010.389985
1976,"FL",33268.718773
1977,"FL",33500.215181
1978,"FL",36976.252556
1979,"FL",41041.361136
1980,"FL",47016.501938
1981,"FL",52838.620795
1982,"FL",56745.628482
1983,"FL",58607.887569
1984,"FL",60033.881498
1985,"FL",61478.757919
1986,"FL",61452.288358
1987,"FL",64189.779086
1988,"FL",66444.864069
1989,"FL",69220.014728
1990,"FL",72118.830758
1991,"FL",72292.471919
1992,"FL",73126.418547
1993,"FL",73393.617907
1994,"FL",75151.580944
1995,"FL",77519.90412
1996,"FL",78443.875325
1997,"FL",80822.823859
1998,"FL",83447.454918
1999,"FL",86977.995392
2000,"FL",92945.518195
2001,"FL",100717.16798
2002,"FL",111323.12901
2003,"FL",126244.04007
2004,"FL",143688.31969
2005,"FL",176575.17404
2006,"FL",221214.36073
2007,"FL",217630.15769
2008,"FL",185837.09649
2009,"FL",138853.22349
2010,"FL",129862.52659
2011,"FL",117721.74807
2012,"FL",117807.40091
2013,"FL",130506.60257
2014,"FL",146595.6264
2015,"FL",157917.8048
2016,"FL",174032.79942
2017,"FL",192548.59952
2018,"FL",208533.36844
1975,"GA",30712.351473
1976,"GA",29455.510798
1977,"GA",30654.978876
1978,"GA",32485.517594
1979,"GA",35687.22524
1980,"GA",40257.364459
1981,"GA",43210.64357
1982,"GA",46459.098224
1983,"GA",48073.319849
1984,"GA",50669.038789
1985,"GA",53571.280525
1986,"GA",56801.537473
1987,"GA",59876.63192
1988,"GA",62645.949336
1989,"GA",64813.71588
1990,"GA",66376.925266
1991,"GA",65863.545345
1992,"GA",66573.693675
1993,"GA",67184.857716
1994,"GA",69273.76596
1995,"GA",72378.305278
1996,"GA",75500.123028
1997,"GA",78654.590692
1998,"GA",82607.908046
1999,"GA",88670.820985
2000,"GA",95178.076564
2001,"GA",100396.8374
2002,"GA",105618.06177
2003,"GA",108772.25617
2004,"GA",112300.86435
2005,"GA",117939.31621
2006,"GA",125169.42112
2007,"GA",130014.02051
2008,"GA",125250.79813
2009,"GA",110047.42538
2010,"GA",104179.60112
2011,"GA",94335.819219
2012,"GA",88871.726036
2013,"GA",98293.52942
2014,"GA",110971.48541
2015,"GA",117387.39201
2016,"GA",125888.73081
2017,"GA",134421.42841
2018,"GA",146389.80247
1975,"HI",27204.900438
1976,"HI",27812.20358
1977,"HI",28036.530055
1978,"HI",30720.191148
1979,"HI",36736.657334
1980,"HI",45953.748576
1981,"HI",51361.130308
1982,"HI",34057.676909
1983,"HI",49041.094218
1984,"HI",51667.063013
1985,"HI",51749.867082
1986,"HI",53588.281219
1987,"HI",56939.410101
1988,"HI",62989.77264
1989,"HI",75871.564336
1990,"HI",95282.439982
1991,"HI",113980.14743
1992,"HI",117133.52621
1993,"HI",114976.89023
1994,"HI",114713.71401
1995,"HI",111045.67005
1996,"HI",105810.0181
1997,"HI",99951.95252
1998,"HI",93209.29041
1999,"HI",92519.079949
2000,"HI",96312.935596
2001,"HI",100571.67296
2002,"HI",108923.01629
2003,"HI",123813.04333
2004,"HI",146699.39993
2005,"HI",181036.25312
2006,"HI",220126.26417
2007,"HI",222509.73772
2008,"HI",221810.08763
2009,"HI",198239.25658
2010,"HI",191718.41731
2011,"HI",190033.0483
2012,"HI",188530.68939
2013,"HI",202226.54593
2014,"HI",221905.33512
2015,"HI",233322.45573
2016,"HI",245191.24506
2017,"HI",260398.78493
2018,"HI",274686.11926
1975,"IA",33018.756515
1976,"IA",35627.934246
1977,"IA",40305.931228
1978,"IA",45897.939381
1979,"IA",50820.437741
1980,"IA",53370.835982
1981,"IA",53056.273832
1982,"IA",51636.856163
1983,"IA",50070.882069
1984,"IA",52296.575455
1985,"IA",52527.965301
1986,"IA",53324.775508
1987,"IA",53526.865228
1988,"IA",53172.067942
1989,"IA",55822.936461
1990,"IA",59720.998047
1991,"IA",62379.69148
1992,"IA",64827.552977
1993,"IA",68733.680618
1994,"IA",74705.784733
1995,"IA",77787.038256
1996,"IA",81584.798384
1997,"IA",84596.76316
1998,"IA",87977.773238
1999,"IA",92900.266495
2000,"IA",96601.552316
2001,"IA",100407.633
2002,"IA",103350.82595
2003,"IA",107850.01594
2004,"IA",111480.05072
2005,"IA",115431.58049
2006,"IA",120270.30716
2007,"IA",122225.71049
2008,"IA",122692.21295
2009,"IA",120877.47511
2010,"IA",121068.62582
2011,"IA",118685.01924
2012,"IA",118029.09562
2013,"IA",121260.9257
2014,"IA",126757.3823
2015,"IA",128427.2766
2016,"IA",134906.3665
2017,"IA",139687.63695
2018,"IA",145168.21689
1975,"ID",32386.290878
1976,"ID",33987.667598
1977,"ID",36165.236465
1978,"ID",41427.560333
1979,"ID",46944.059829
1980,"ID",51324.344635
1981,"ID",52434.916857
1982,"ID",53095.097464
1983,"ID",55232.088668
1984,"ID",55048.326099
1985,"ID",55590.953819
1986,"ID",56401.376541
1987,"ID",56876.752706
1988,"ID",54644.672534
1989,"ID",56774.443724
1990,"ID",59702.693028
1991,"ID",64841.703707
1992,"ID",69419.395457
1993,"ID",75009.363094
1994,"ID",81316.237297
1995,"ID",87872.973063
1996,"ID",89569.667873
1997,"ID",91270.163804
1998,"ID",92290.481475
1999,"ID",94908.761552
2000,"ID",97693.097592
2001,"ID",99926.36938
2002,"ID",103231.14353
2003,"ID",106926.21581
2004,"ID",113483.69651
2005,"ID",127050.05714
2006,"ID",153138.06359
2007,"ID",167666.54263
2008,"ID",165370.46349
2009,"ID",148740.97601
2010,"ID",133074.99616
2011,"ID",119094.35494
2012,"ID",116841.41403
2013,"ID",128459.94741
2014,"ID",139609.57978
2015,"ID",146067.07569
2016,"ID",157502.31872
2017,"ID",171172.5994
2018,"ID",190271.44738
1975,"IL",25670.436003
1976,"IL",27856.588806
1977,"IL",30753.368247
1978,"IL",34936.762891
1979,"IL",38770.598856
1980,"IL",40883.070339
1981,"IL",41740.86346
1982,"IL",41864.021487
1983,"IL",39737.728806
1984,"IL",43520.713453
1985,"IL",44944.802524
1986,"IL",47050.177443
1987,"IL",50686.504015
1988,"IL",55451.872287
1989,"IL",60237.737554
1990,"IL",64407.187807
1991,"IL",66841.659647
1992,"IL",69232.793192
1993,"IL",71960.707384
1994,"IL",74634.530536
1995,"IL",77761.71021
1996,"IL",79882.287337
1997,"IL",81990.051647
1998,"IL",83925.916813
1999,"IL",88235.347678
2000,"IL",93882.804744
2001,"IL",100444.30812
2002,"IL",106933.68145
2003,"IL",115166.38705
2004,"IL",123121.98847
2005,"IL",133198.62073
2006,"IL",142937.12389
2007,"IL",146076.45974
2008,"IL",140443.10633
2009,"IL",125152.44875
2010,"IL",119515.96331
2011,"IL",111093.62153
2012,"IL",103925.88375
2013,"IL",105860.6272
2014,"IL",114640.32238
2015,"IL",117320.71397
2016,"IL",121552.97673
2017,"IL",127476.57939
2018,"IL",132711.71258
1975,"IN",32613.157924
1976,"IN",34208.248653
1977,"IN",36430.723267
1978,"IN",41576.392759
1979,"IN",45782.553061
1980,"IN",48635.099828
1981,"IN",50644.584395
1982,"IN",50996.766335
1983,"IN",49836.254186
1984,"IN",50000.277629
1985,"IN",52572.043586
1986,"IN",54029.975895
1987,"IN",57460.48473
1988,"IN",59860.055411
1989,"IN",62607.7437
1990,"IN",65778.848008
1991,"IN",67972.198429
1992,"IN",70736.343771
1993,"IN",73886.343035
1994,"IN",77597.006818
1995,"IN",81071.187975
1996,"IN",84698.991973
1997,"IN",87921.022417
1998,"IN",90248.018139
1999,"IN",93921.964326
2000,"IN",97670.331055
2001,"IN",100133.09239
2002,"IN",102712.67127
2003,"IN",104483.71875
2004,"IN",107108.6258
2005,"IN",109615.96505
2006,"IN",112616.81993
2007,"IN",113734.26647
2008,"IN",111756.62996
2009,"IN",105700.57448
2010,"IN",106418.46926
2011,"IN",104116.69433
2012,"IN",103878.34363
2013,"IN",106203.34336
2014,"IN",110408.26622
2015,"IN",114599.63593
2016,"IN",118890.01005
2017,"IN",123849.60873
2018,"IN",133541.66698
1975,"KS",33547.892466
1976,"KS",36281.20413
1977,"KS",39763.578012
1978,"KS",44950.182062
1979,"KS",49878.410963
1980,"KS",54171.424627
1981,"KS",55530.078048
1982,"KS",59173.376851
1983,"KS",57704.89015
1984,"KS",58834.179492
1985,"KS",60080.739473
1986,"KS",60281.350559
1987,"KS",62106.561915
1988,"KS",62977.497582
1989,"KS",63802.740605
1990,"KS",64882.194499
1991,"KS",64594.73195
1992,"KS",65980.061288
1993,"KS",68353.288675
1994,"KS",75174.329941
1995,"KS",76070.745755
1996,"KS",79780.057561
1997,"KS",83129.009931
1998,"KS",87259.774882
1999,"KS",93403.765017
2000,"KS",96814.00818
2001,"KS",100372.55838
2002,"KS",104946.48389
2003,"KS",108995.37647
2004,"KS",112416.18669
2005,"KS",116460.22495
2006,"KS",121177.0884
2007,"KS",123538.66085
2008,"KS",123870.75046
2009,"KS",122382.88377
2010,"KS",122166.85087
2011,"KS",117756.80196
2012,"KS",116291.79239
2013,"KS",119612.29006
2014,"KS",123913.61218
2015,"KS",129819.792
2016,"KS",134577.03038
2017,"KS",140485.20272
